Product_name, Category, Subcategory, SearchTerm, Rating, Reviews, Product_Url
Amazon - Fire 7 2019 release - 7" - Tablet - 16GB - Twilight Blue,Phones,Amazon,Amazon Kindle Fire,4.6,1639,https://www.bestbuy.com/site/amazon-fire-7-2019-release-7-tablet-16gb-twilight-blue/6351400.p?skuId=6351400
Amazon - Fire HD 8 - 8" - Tablet - 16GB 8th Generation| 2018 Release - Punch Red,Phones,Amazon,Amazon Kindle Fire,4.6,3402,https://www.bestbuy.com/site/amazon-fire-hd-8-8-tablet-16gb-8th-generation-2018-release-punch-red/6293754.p?skuId=6293754
Amazon - Fire 7 Kids Edition 2019 release - 7" - Tablet - 16GB - Pink,Phones,Amazon,Amazon Kindle Fire,4.7,862,https://www.bestbuy.com/site/amazon-fire-7-kids-edition-2019-release-7-tablet-16gb-pink/6351415.p?skuId=6351415
Amazon - Fire HD 10 2019 release - 10.1" - Tablet - 32GB - Black,Phones,Amazon,Amazon Kindle Fire,4.7,473,https://www.bestbuy.com/site/amazon-fire-hd-10-2019-release-10-1-tablet-32gb-black/6384431.p?skuId=6384431
Amazon - Fire HD Kids Edition - 8" - Tablet - 32GB 8th Generation| 2018 Release - Pink,Phones,Amazon,Amazon Kindle Fire,4.7,1460,https://www.bestbuy.com/site/amazon-fire-hd-kids-edition-8-tablet-32gb-8th-generation-2018-release-pink/6293794.p?skuId=6293794
Amazon - Fire HD 10 Kids Edition 2019 release - 10.1" - Tablet - 32GB - Blue,Phones,Amazon,Amazon Kindle Fire,4.8,125,https://www.bestbuy.com/site/amazon-fire-hd-10-kids-edition-2019-release-10-1-tablet-32gb-blue/6384446.p?skuId=6384446
Amazon - Fire HD 10 Kids Edition 2019 release - 10.1" - Tablet - 32GB - Pink,Phones,Amazon,Amazon Kindle Fire,4.8,125,https://www.bestbuy.com/site/amazon-fire-hd-10-kids-edition-2019-release-10-1-tablet-32gb-pink/6384447.p?skuId=6384447
Amazon - Fire 7 2019 release - 7" - Tablet - 32GB - Twilight Blue,Phones,Amazon,Amazon Kindle Fire,4.5,82,https://www.bestbuy.com/site/amazon-fire-7-2019-release-7-tablet-32gb-twilight-blue/6351531.p?skuId=6351531
Amazon - Fire HD 10 2019 release - 10.1" - Tablet - 64GB - Black,Phones,Amazon,Amazon Kindle Fire,4.6,30,https://www.bestbuy.com/site/amazon-fire-hd-10-2019-release-10-1-tablet-64gb-black/6384441.p?skuId=6384441
Amazon - Cover Case for Amazon Fire 7 (9th Generation - 2019 release) - Charcoal Black,Phones,Amazon,Amazon Kindle Fire,4.6,60,https://www.bestbuy.com/site/amazon-cover-case-for-amazon-fire-7-9th-generation-2019-release-charcoal-black/6353872.p?skuId=6353872
SaharaCase - Custom Design Smart Folio Case for Amazon Kindle Fire HD 10 (2017/2019) - Blue Marble,Phones,Amazon,Amazon Kindle Fire,5,2,https://www.bestbuy.com/site/saharacase-custom-design-smart-folio-case-for-amazon-kindle-fire-hd-10-2017-2019-blue-marble/6359640.p?skuId=6359640
Insignia(tm) - Glass Screen Protector for Amazon Fire 7,Phones,Amazon,Amazon Kindle Fire,4.8,20,https://www.bestbuy.com/site/insignia-glass-screen-protector-for-amazon-fire-7/6330650.p?skuId=6330650
Amazon - Fire HD 8 - 8" - Tablet - 32GB 8th Generation| 2018 Release - Marine Blue,Phones,Amazon,Amazon Kindle Fire,4.5,151,https://www.bestbuy.com/site/amazon-fire-hd-8-8-tablet-32gb-8th-generation-2018-release-marine-blue/6293748.p?skuId=6293748
Amazon - Cover Case for Amazon Fire HD 10 (7th and 9th Generations - 2017 and 2019 Releases) - Charcoal Black,Phones,Amazon,Amazon Kindle Fire,4.6,56,https://www.bestbuy.com/site/amazon-cover-case-for-amazon-fire-hd-10-7th-and-9th-generations-2017-and-2019-releases-charcoal-black/6384735.p?skuId=6384735
Toshiba - 32" Class - LED - 720p - Smart - HDTV - Fire TV Edition,Phones,Amazon,Amazon Kindle Fire,4.7,2059,https://www.bestbuy.com/site/toshiba-32-class-led-720p-smart-hdtv-fire-tv-edition/6211003.p?skuId=6211003
Amazon - Fire HD 10 2019 release - 10.1" - Tablet - 64GB - Twilight Blue,Phones,Amazon,Amazon Kindle Fire,4.6,30,https://www.bestbuy.com/site/amazon-fire-hd-10-2019-release-10-1-tablet-64gb-twilight-blue/6384444.p?skuId=6384444
Insignia(tm) - Folio Case for Amazon Fire 7 (7th Generation| 2017 Release) - Purple,Phones,Amazon,Amazon Kindle Fire,4.5,248,https://www.bestbuy.com/site/insignia-folio-case-for-amazon-fire-7-7th-generation-2017-release-purple/5869431.p?skuId=5869431
Amazon - Show Mode Charging Dock for Amazon Fire HD 8 Tablet (7th Generation| 2017 Release) - Black,Phones,Amazon,Amazon Kindle Fire,4.6,115,https://www.bestbuy.com/site/amazon-show-mode-charging-dock-for-amazon-fire-hd-8-tablet-7th-generation-2017-release-black/6261469.p?skuId=6261469
Amazon - Kid-Proof Case for Amazon Fire 7 (9th Generation - 2019 Release) - Blue,Phones,Amazon,Amazon Kindle Fire,4.9,107,https://www.bestbuy.com/site/amazon-kid-proof-case-for-amazon-fire-7-9th-generation-2019-release-blue/6353890.p?skuId=6353890
Amazon - Cover Case for Amazon Fire HD 8 (7th Generation| 2017 Release) - Charcoal Black,Phones,Amazon,Amazon Kindle Fire,4.7,879,https://www.bestbuy.com/site/amazon-cover-case-for-amazon-fire-hd-8-7th-generation-2017-release-charcoal-black/5887608.p?skuId=5887608
Amazon - Folio Case for Amazon Fire HD 10 (7th Generation) - Punch Red,Phones,Amazon,Amazon Kindle Fire,4.6,657,https://www.bestbuy.com/site/amazon-folio-case-for-amazon-fire-hd-10-7th-generation-punch-red/6091115.p?skuId=6091115
Amazon - Kid-Proof Case for Amazon Fire HD 8 Tablet (7th Generation| 2017 Release) - Blue,Phones,Amazon,Amazon Kindle Fire,4.7,131,https://www.bestbuy.com/site/amazon-kid-proof-case-for-amazon-fire-hd-8-tablet-7th-generation-2017-release-blue/6261541.p?skuId=6261541
Amazon - Fire TV Recast 500GB OTA DVR - Black,Phones,Amazon,Amazon Kindle Fire,4.4,207,https://www.bestbuy.com/site/amazon-fire-tv-recast-500gb-ota-dvr-black/6301666.p?skuId=6301666
Insignia(tm) - 24" Class - LED - 720p - Smart - HDTV - Fire TV Edition,Phones,Amazon,Amazon Kindle Fire,4.6,1302,https://www.bestbuy.com/site/insignia-24-class-led-720p-smart-hdtv-fire-tv-edition/6247347.p?skuId=6247347
ViewSonic - PA502X XGA DLP Projector - Black/white,Phones,ZTE,ZTE Grand X View 2,5,3,https://www.bestbuy.com/site/viewsonic-pa502x-xga-dlp-projector-black-white/6131430.p?skuId=6131430
ViewSonic - PG703X XGA DLP Projector - White,Phones,ZTE,ZTE Grand X View 2,0,Not yet reviewed,https://www.bestbuy.com/site/viewsonic-pg703x-xga-dlp-projector-white/6131429.p?skuId=6131429
ViewSonic - PA503X XGA DLP Projector - White,Phones,ZTE,ZTE Grand X View 2,0,Not yet reviewed,https://www.bestbuy.com/site/viewsonic-pa503x-xga-dlp-projector-white/5947147.p?skuId=5947147
HP - 25x 24.5" LED FHD Monitor - Gray/Green,Phones,ZTE,ZTE Grand X View 2,4.7,588,https://www.bestbuy.com/site/hp-25x-24-5-led-fhd-monitor-gray-green/6280605.p?skuId=6280605
